fold,spec,model,RMSE,MAE,R2,MASE,n_train,n_test
3,A5_WDI_6WGI_inter,XGBoost,3.250825294965484,2.258697684768982,0.9083045312444233,0.6918216481463907,472,74
4,A5_WDI_6WGI_inter,XGBoost,3.0502435683488973,2.223849859617883,0.932451691104124,0.7282957772474157,535,74
5,A5_WDI_6WGI_inter,XGBoost,3.8321382048274515,2.3099490939544727,0.8832102983911638,0.7768631410125292,598,74
1,A5_WDI_6WGI_inter,SARIMAX,2.638925451337466,1.9016641260960818,0.9782659371350617,0.49789641845395954,346,74
2,A5_WDI_6WGI_inter,SARIMAX,2.2127066932336192,1.483666416847685,0.9809118226897374,0.4066337954233279,409,74
3,A5_WDI_6WGI_inter,SARIMAX,2.4664030462261572,1.7509108560579774,0.9472176514224413,0.5362904661228847,472,74
4,A5_WDI_6WGI_inter,SARIMAX,1.8626272334460199,1.2989915015129267,0.9748117881377928,0.42541092472614195,535,74
5,A5_WDI_6WGI_inter,SARIMAX,3.4379316373959625,1.9248696122100386,0.9060024151192736,0.6473563668111432,598,74
1,A5_WDI_6WGI_inter,LSTM,2.8889618868722455,2.23540885110675,0.9739522448891382,0.585277939186458,346,74
2,A5_WDI_6WGI_inter,LSTM,1.8276812426199855,1.4047857114339135,0.9869768011790286,0.3850146765541271,409,74
3,A5_WDI_6WGI_inter,LSTM,2.1795167992254965,1.632071656669587,0.9587825560653714,0.4998909376071051,472,74
4,A5_WDI_6WGI_inter,LSTM,1.9661958101849304,1.4855789115442488,0.9719328075020031,0.4865170386239091,535,74
5,A5_WDI_6WGI_inter,LSTM,2.808436646093586,1.6345857360194604,0.9372734380110669,0.5497304734817601,598,74
1,A5_WDI_6WGI_inter,Bayes_Partial,11.967483910495323,9.289126937667492,0.5530155858989402,2.4320924864495033,346,74
2,A5_WDI_6WGI_inter,Bayes_Partial,10.093622756755723,8.188284347979371,0.6027984818087704,2.2441925655355086,409,74
3,A5_WDI_6WGI_inter,Bayes_Partial,10.15214784718309,7.634558773588462,0.10571389714569301,2.3384063609887975,472,74
4,A5_WDI_6WGI_inter,Bayes_Partial,9.432593829361519,7.180930811183367,0.3540369022318173,2.351706237663604,535,74
5,A5_WDI_6WGI_inter,Bayes_Partial,9.993972948682318,7.337148236035327,0.20567439678584432,2.4675695406616107,598,74
1,A5_WDI_6WGI_inter,Bayes_Complete,11.967483910495323,9.289126937667492,0.5530155858989402,2.4320924864495033,346,74
2,A5_WDI_6WGI_inter,Bayes_Complete,10.093622756755723,8.188284347979371,0.6027984818087704,2.2441925655355086,409,74
3,A5_WDI_6WGI_inter,Bayes_Complete,10.15214784718309,7.634558773588462,0.10571389714569301,2.3384063609887975,472,74
4,A5_WDI_6WGI_inter,Bayes_Complete,9.432593829361519,7.180930811183367,0.3540369022318173,2.351706237663604,535,74
